Imie,Nazwisko,Ulica,Numer,KodPocztowy,Miejscowosc,Pesel,Email
Jan,Szymanski,Lipowa,71,86-548,Gdansk,28638343838,jan.szymanski@onet.pl
Agnieszka,Wisniewska,Piotrkowska,38,98-941,Szczecin,14310478370,agnieszka.wisniewska@outlook.com
Ewa,Wojcik,Dluga,20,94-610,Gdansk,85246098879,ewa.wojcik@wp.pl
Katarzyna,Szymanska,Srednia,5,95-437,Lodz,66340703840,katarzyna.szymanska@gmail.com
Piotr,Wisniewski,Ogrodowa,22,68-805,Katowice,49117879692,piotr.wisniewski@wp.pl
Anna,Wisniewska,Jana Pawla II,96,77-167,Poznan,07382488345,anna.wisniewska@gmail.com
Agnieszka,Nowak,Jana Pawla II,12,42-647,Katowice,27770215900,agnieszka.nowak@outlook.com
Piotr,Szymanski,Aleja Niepodleglosci,30,56-197,Warszawa,13804093916,piotr.szymanski@gmail.com
Lukasz,Kowalczyk,Glowna,64,48-944,Katowice,45421262262,lukasz.kowalczyk@onet.pl
Piotr,Szymanski,Glowna,95,28-660,Lublin,39477594364,piotr.szymanski@yahoo.com
Piotr,Rojek,3 maja,315,39-100,Ropczyce,12345678900,piotr@gmail.com
Monika,Sowa,Niedzielna,4,12-123,Roszyce,12312312300,monimoni@1337.onet.net
